EngineSize,Cylinders,FuelType,FuelC
2.40,4.00,2.00,9.60
2.40,4.00,2.00,10.20
3.30,6.00,2.00,11.20
1.60,4.00,2.00,8.50
1.60,4.00,2.00,8.40
2.00,4.00,2.00,8.70
2.40,4.00,2.00,9.20
2.00,4.00,2.00,11.10
2.40,4.00,2.00,10.50
2.00,4.00,1.00,9.70
3.30,6.00,1.00,11.80
6.50,12.00,1.00,21.50
6.50,12.00,1.00,21.70
5.20,10.00,1.00,15.90
5.20,10.00,1.00,15.70
5.20,10.00,1.00,15.90
5.20,10.00,1.00,15.70
5.20,10.00,1.00,15.70
5.20,10.00,1.00,15.70
4.00,8.00,1.00,16.90
3.00,6.00,1.00,13.30
3.00,6.00,3.00,10.40
2.00,4.00,1.00,10.50
3.00,6.00,1.00,12.40
3.00,6.00,3.00,9.60
5.00,8.00,1.00,13.00
5.00,8.00,1.00,15.50
3.00,6.00,1.00,12.40
3.00,6.00,3.00,9.60
5.00,8.00,1.00,12.60
2.00,4.00,1.00,9.60
2.00,4.00,1.00,9.80
2.00,4.00,3.00,8.50
2.00,4.00,1.00,10.60
3.00,6.00,1.00,11.60
2.50,4.00,2.00,5.30
3.50,6.00,2.00,9.10
3.50,6.00,2.00,9.40
3.50,6.00,1.00,10.90
5.00,8.00,1.00,12.50
4.60,8.00,1.00,14.60
2.00,4.00,1.00,9.50
3.50,6.00,1.00,10.90
3.50,6.00,1.00,10.90
5.00,8.00,1.00,12.60
3.50,6.00,1.00,8.10
3.40,6.00,1.00,11.10
3.50,6.00,1.00,9.10
5.70,8.00,1.00,15.80
2.00,4.00,1.00,9.70
2.00,4.00,1.00,9.90
2.50,4.00,2.00,7.50
3.50,6.00,1.00,11.20
3.50,6.00,1.00,11.20
5.00,8.00,1.00,12.60
3.50,6.00,2.00,10.80
3.50,6.00,2.00,11.10
3.50,6.00,1.00,7.90
3.50,6.00,1.00,8.10
2.00,4.00,2.00,7.20
2.00,4.00,2.00,5.60
2.00,4.00,2.00,6.00
2.70,6.00,2.00,12.00
3.00,6.00,2.00,12.30
3.70,6.00,2.00,12.20
2.00,4.00,2.00,11.00
2.00,4.00,2.00,10.90
2.30,4.00,2.00,11.50
3.50,6.00,2.00,13.70
3.70,6.00,2.00,12.70
2.00,4.00,2.00,10.40
3.00,6.00,2.00,11.80
2.00,4.00,2.00,5.90
2.70,6.00,2.00,11.00
3.50,6.00,2.00,13.40
3.00,6.00,1.00,12.20
3.00,6.00,1.00,12.60
3.00,6.00,1.00,12.60
4.70,8.00,1.00,15.00
3.00,6.00,1.00,13.70
3.00,6.00,1.00,14.00
3.80,8.00,1.00,15.30
3.80,8.00,1.00,15.30
3.00,6.00,1.00,12.80
3.00,6.00,1.00,12.80
3.80,8.00,1.00,13.70
2.00,4.00,2.00,7.70
2.00,4.00,2.00,8.00
