Merk,Engine-Size,Cylinders,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,
Ford,3.50,6.00,X,14.10,10.60,12.50,
Ford,3.50,6.00,X,14.70,11.20,13.10,
Ford,2.30,4.00,X,13.10,9.20,11.40,
Ford,3.50,6.00,X,15.20,10.90,13.20,
Ford,3.50,6.00,X,14.50,10.60,12.70,
Ford,3.50,6.00,E,19.80,14.30,17.30,
Ford,2.70,6.00,X,12.00,9.00,10.60,
Ford,2.70,6.00,X,12.40,9.40,11.10,
Ford,2.70,6.00,X,12.40,9.40,11.10,
Ford,3.00,6.00,D,10.80,8.00,9.50,
Ford,3.00,6.00,D,10.80,8.40,9.70,
Ford,3.30,6.00,X,12.20,9.30,10.90,
Ford,3.30,6.00,E,16.70,12.60,14.90,
Ford,3.30,6.00,X,12.40,9.80,11.20,
Ford,3.30,6.00,E,16.70,12.60,14.90,
Ford,3.50,6.00,X,13.50,10.10,12.00,
Ford,3.50,6.00,X,13.80,10.70,12.40,
Ford,3.50,6.00,X,13.90,11.20,12.70,
Ford,5.00,8.00,X,13.90,10.20,12.20,
Ford,5.00,8.00,E,20.30,14.00,17.40,
Ford,5.00,8.00,X,14.70,11.20,13.10,
Ford,5.00,8.00,E,20.30,14.00,17.50,
Ford,5.00,8.00,X,15.60,11.80,13.90,
Ford,5.00,8.00,E,20.40,14.00,17.50,
Ford,2.70,6.00,X,12.70,9.80,11.40,
Ford,2.70,6.00,X,13.10,10.20,11.80,
Ford,2.70,6.00,X,13.10,10.20,11.80,
Ford,3.00,6.00,D,11.80,9.30,10.70,
Ford,3.00,6.00,D,11.80,9.30,10.70,
Ford,3.00,6.00,D,11.20,8.30,9.90,
Ford,3.30,6.00,X,12.80,10.20,11.60,
Ford,3.30,6.00,E,17.50,13.80,15.80,
Ford,3.30,6.00,X,13.80,10.70,12.40,
Ford,3.30,6.00,E,17.50,13.70,15.80,
Ford,3.50,6.00,X,14.30,10.50,12.50,
Ford,3.50,6.00,X,14.70,10.70,12.90,
Ford,3.50,6.00,X,14.70,11.20,13.10,
Ford,3.50,6.00,X,13.80,11.20,12.60,
Ford,5.00,8.00,X,15.10,11.00,13.30,
Ford,5.00,8.00,E,20.00,15.60,18.00,
