Merk,EngineSize,Cylinders,FuelType,FuelC
17.00,2.00,4.00,2.00,8.00
17.00,1.50,4.00,1.00,7.40
17.00,2.00,4.00,1.00,9.60
17.00,1.50,4.00,2.00,7.80
17.00,1.50,4.00,2.00,8.00
17.00,1.50,4.00,2.00,6.50
17.00,1.50,4.00,2.00,7.00
17.00,1.50,4.00,2.00,7.40
17.00,1.80,4.00,2.00,7.80
17.00,1.80,4.00,2.00,8.20
17.00,1.80,4.00,2.00,8.50
17.00,1.50,4.00,2.00,4.90
17.00,1.50,4.00,2.00,4.90
17.00,3.50,6.00,2.00,10.70
17.00,3.50,6.00,2.00,10.60
17.00,3.50,6.00,2.00,11.30
17.00,3.50,6.00,2.00,10.70
17.00,3.50,6.00,2.00,11.30
17.00,3.50,6.00,2.00,11.00
17.00,3.50,6.00,2.00,11.30
18.00,1.60,4.00,2.00,7.30
18.00,1.60,4.00,2.00,7.30
18.00,1.60,4.00,2.00,8.10
18.00,1.60,4.00,2.00,9.40
18.00,2.00,4.00,2.00,7.40
18.00,2.00,4.00,2.00,8.00
18.00,1.60,4.00,2.00,8.60
18.00,1.60,4.00,2.00,9.20
18.00,2.00,4.00,2.00,8.40
18.00,2.00,4.00,2.00,8.70
18.00,1.60,4.00,2.00,4.30
18.00,1.60,4.00,2.00,4.10
18.00,2.00,4.00,2.00,7.90
18.00,1.60,4.00,2.00,8.60
18.00,2.00,4.00,2.00,8.60
18.00,2.40,4.00,2.00,9.60
18.00,2.00,4.00,2.00,11.20
18.00,2.40,4.00,2.00,10.10
18.00,3.30,6.00,2.00,11.50
18.00,3.30,6.00,2.00,11.70
18.00,3.30,6.00,2.00,12.60
18.00,2.00,4.00,2.00,9.10
18.00,2.40,4.00,2.00,8.30
18.00,2.40,4.00,2.00,8.10
18.00,2.00,4.00,2.00,5.70
18.00,2.00,4.00,2.00,5.60
18.00,2.00,4.00,2.00,9.10
18.00,2.00,4.00,2.00,10.10
18.00,2.40,4.00,2.00,10.10
18.00,2.00,4.00,2.00,8.20
18.00,2.00,4.00,2.00,8.40
18.00,2.00,4.00,2.00,9.50
18.00,1.60,4.00,2.00,7.80
18.00,1.60,4.00,2.00,8.30
19.00,2.00,4.00,1.00,9.70
19.00,3.00,6.00,1.00,10.80
19.00,3.00,6.00,1.00,11.10
19.00,2.00,4.00,1.00,10.00
19.00,3.00,6.00,1.00,10.70
19.00,3.00,6.00,1.00,11.00
19.00,3.70,6.00,1.00,11.70
19.00,5.60,8.00,1.00,12.80
19.00,2.00,4.00,1.00,9.00
19.00,3.50,6.00,1.00,10.90
19.00,5.60,8.00,1.00,15.10
20.00,2.00,4.00,1.00,9.80
20.00,2.00,4.00,3.00,8.10
20.00,2.00,4.00,1.00,9.90
20.00,3.00,6.00,1.00,11.80
20.00,2.00,4.00,1.00,9.20
20.00,3.00,6.00,1.00,10.40
20.00,3.00,6.00,1.00,12.60
20.00,3.00,6.00,1.00,10.80
20.00,3.00,6.00,1.00,12.90
20.00,3.00,6.00,1.00,11.30
20.00,2.00,4.00,1.00,9.20
20.00,3.00,6.00,1.00,10.40
20.00,3.00,6.00,1.00,12.60
20.00,3.00,6.00,1.00,10.80
20.00,3.00,6.00,1.00,12.90
20.00,3.00,6.00,1.00,11.30
20.00,5.00,8.00,1.00,13.30
20.00,5.00,8.00,1.00,13.30
20.00,2.00,4.00,3.00,6.90
20.00,2.00,4.00,1.00,8.50
20.00,3.00,6.00,1.00,10.20
20.00,2.00,4.00,3.00,6.90
20.00,2.00,4.00,1.00,8.80
20.00,3.00,6.00,1.00,10.40
20.00,3.00,6.00,1.00,11.80
20.00,3.00,6.00,1.00,11.90
20.00,5.00,8.00,1.00,13.30
21.00,2.00,4.00,2.00,9.10
21.00,2.40,4.00,2.00,9.30
21.00,3.20,6.00,2.00,10.20
21.00,2.00,4.00,2.00,9.80
21.00,2.40,4.00,2.00,9.80
21.00,3.20,6.00,2.00,10.60
21.00,2.00,4.00,2.00,10.20
21.00,3.20,6.00,2.00,11.10
21.00,2.00,4.00,2.00,10.60
21.00,3.20,6.00,2.00,11.60
21.00,2.40,4.00,2.00,9.30
21.00,2.40,4.00,2.00,9.00
21.00,2.40,4.00,2.00,9.50
21.00,2.40,4.00,2.00,9.40
21.00,3.60,6.00,2.00,11.30
21.00,5.70,8.00,2.00,14.10
21.00,3.00,6.00,3.00,10.00
21.00,6.40,8.00,1.00,15.70
21.00,6.20,8.00,1.00,17.70
21.00,1.30,4.00,2.00,8.70
21.00,2.40,4.00,2.00,9.50
21.00,1.30,4.00,2.00,9.20
21.00,2.40,4.00,2.00,9.80
21.00,1.30,4.00,2.00,9.90
21.00,2.00,4.00,2.00,10.00
21.00,3.60,6.00,2.00,11.80
21.00,3.60,6.00,2.00,11.80
21.00,2.00,4.00,2.00,10.50
21.00,3.60,6.00,2.00,11.70
21.00,3.60,6.00,2.00,12.20
22.00,3.30,6.00,2.00,10.20
22.00,2.00,4.00,2.00,6.90
22.00,2.00,4.00,2.00,7.60
22.00,1.60,4.00,2.00,4.80
22.00,1.60,4.00,2.00,4.70
22.00,1.60,4.00,2.00,5.40
22.00,2.00,4.00,2.00,9.70
22.00,2.40,4.00,2.00,8.40
22.00,2.00,4.00,2.00,5.70
22.00,1.60,4.00,2.00,7.50
22.00,1.60,4.00,2.00,7.50
22.00,3.30,6.00,2.00,11.50
22.00,2.40,4.00,2.00,9.60
22.00,2.40,4.00,2.00,10.20
22.00,3.30,6.00,2.00,11.20
22.00,1.60,4.00,2.00,8.50
22.00,1.60,4.00,2.00,8.40
22.00,2.00,4.00,2.00,8.70
22.00,2.40,4.00,2.00,9.20
22.00,2.00,4.00,2.00,11.10
22.00,2.40,4.00,2.00,10.50
22.00,2.00,4.00,1.00,9.70
22.00,3.30,6.00,1.00,11.80
23.00,6.50,12.00,1.00,21.50
23.00,6.50,12.00,1.00,21.70
23.00,5.20,10.00,1.00,15.90
23.00,5.20,10.00,1.00,15.70
23.00,5.20,10.00,1.00,15.90
23.00,5.20,10.00,1.00,15.70
23.00,5.20,10.00,1.00,15.70
23.00,5.20,10.00,1.00,15.70
23.00,4.00,8.00,1.00,16.90
24.00,3.00,6.00,1.00,13.30
24.00,3.00,6.00,3.00,10.40
24.00,2.00,4.00,1.00,10.50
24.00,3.00,6.00,1.00,12.40
24.00,3.00,6.00,3.00,9.60
24.00,5.00,8.00,1.00,13.00
24.00,5.00,8.00,1.00,15.50
24.00,3.00,6.00,1.00,12.40
